iter	Passed	Remaining
0	136	13545
1	139	6816
2	140	4546
3	141	3403
4	143	2723
5	144	2269
6	146	1945
7	148	1702
8	149	1512
9	151	1361
10	152	1237
11	154	1133
12	155	1043
13	157	966
14	158	900
15	160	841
16	161	789
17	163	743
18	164	701
19	165	662
20	166	627
21	167	594
22	168	565
23	169	537
24	170	511
25	171	488
26	172	465
27	172	444
28	173	425
29	174	406
30	175	389
31	175	373
32	176	357
33	176	343
34	177	329
35	177	316
36	178	303
37	179	292
38	179	280
39	180	270
40	180	260
41	181	250
42	181	240
43	182	231
44	182	223
45	183	215
46	184	207
47	184	200
48	185	192
49	185	185
50	186	179
51	186	172
52	187	166
53	188	160
54	188	154
55	189	148
56	189	143
57	190	137
58	191	132
59	191	127
60	192	122
61	192	118
62	193	113
63	194	109
64	194	104
65	195	100
66	196	96
67	196	92
68	197	88
69	197	84
70	198	81
71	199	77
72	199	73
73	200	70
74	200	66
75	201	63
76	202	60
77	202	57
78	203	54
79	204	51
80	204	48
81	205	45
82	206	42
83	206	39
84	207	36
85	207	33
86	208	31
87	209	28
88	209	25
89	210	23
90	210	20
91	211	18
92	212	15
93	212	13
94	213	11
95	213	8
96	214	6
97	215	4
98	215	2
99	216	0
